gen,net_size,D,II,segII,nu,HS,HT,GST,RI,RI_max,RI_max_free,N,r,stp,Ne,Sim,U,NU
2173,8569,0.092,0.14,0.015,0.635,0.012,0.058,0.784,0,0.028,0.044,500,Free,3,233.151,379,0.02,10.0
11060,12665,0.122,1.12,0.07,0.571,0.029,0.088,0.669,0,0.13,0.23,500,Free,4,233.151,379,0.02,10.0
11129,12801,0.15,1.3,0.03,0.56,0.026,0.099,0.737,0,0.242,0.276,500,Free,5,233.151,379,0.02,10.0
12414,13839,0.18,2.89,0.025,0.595,0.021,0.11,0.806,0,0.274,0.456,500,Free,6,233.151,379,0.02,10.0
12802,14350,0.211,2.74,0.015,0.626,0.025,0.127,0.807,0,0.258,0.464,500,Free,7,233.151,379,0.02,10.0
16024,17174,0.24,3.14,0.07,0.624,0.037,0.153,0.755,0,0.308,0.528,500,Free,8,233.151,379,0.02,10.0
16181,17589,0.272,2.4,0.025,0.654,0.017,0.151,0.886,0,0.196,0.486,500,Free,9,233.151,379,0.02,10.0
16418,18242,0.3,1.64,0.06,0.676,0.019,0.166,0.886,0,0.4,0.496,500,Free,10,233.151,379,0.02,10.0
21074,21551,0.33,2.98,0.025,0.656,0.028,0.188,0.853,0,0.456,0.486,500,Free,11,233.151,379,0.02,10.0
0,6461,0.0,0.03,0.055,0.596,0.023,0.023,0.0,0,0.01,0.014,500,Free,0,276.844,380,0.02,10.0
1557,7754,0.031,0.16,0.04,0.582,0.019,0.035,0.437,0,0.01,0.022,500,Free,1,276.844,380,0.02,10.0
4476,9306,0.062,0.95,0.055,0.668,0.023,0.053,0.571,0,0.22,0.214,500,Free,2,276.844,380,0.02,10.0
4706,9637,0.09,1.53,0.03,0.614,0.028,0.072,0.611,0,0.256,0.328,500,Free,3,276.844,380,0.02,10.0
7280,11790,0.121,1.42,0.025,0.622,0.028,0.087,0.673,0,0.182,0.404,500,Free,4,276.844,380,0.02,10.0
10577,13177,0.15,1.22,0.055,0.664,0.022,0.095,0.771,0,0.106,0.39,500,Free,5,276.844,380,0.02,10.0
16382,14675,0.182,1.72,0.015,0.647,0.028,0.117,0.759,0,0.062,0.376,500,Free,6,276.844,380,0.02,10.0
20062,16451,0.21,2.14,0.04,0.65,0.028,0.13,0.784,0,0.056,0.426,500,Free,7,276.844,380,0.02,10.0
20136,16704,0.241,2.13,0.045,0.629,0.029,0.146,0.802,0,0.156,0.472,500,Free,8,276.844,380,0.02,10.0
38945,24561,0.271,3.34,0.035,0.582,0.025,0.157,0.839,0,0.182,0.504,500,Free,9,276.844,380,0.02,10.0
40507,26225,0.301,2.16,0.06,0.653,0.02,0.168,0.879,0,0.178,0.482,500,Free,10,276.844,380,0.02,10.0
54507,33993,0.333,3.57,0.025,0.61,0.036,0.197,0.816,0,0.312,0.452,500,Free,11,276.844,380,0.02,10.0
0,7621,0.0,0.04,0.005,0.53,0.021,0.021,0.0,0,0.0,0.006,500,Free,0,498.338,381,0.02,10.0
922,8185,0.03,0.16,0.03,0.579,0.013,0.028,0.524,0,0.02,0.028,500,Free,1,498.338,381,0.02,10.0
4876,10093,0.06,0.83,0.03,0.564,0.025,0.054,0.545,0,0.058,0.16,500,Free,2,498.338,381,0.02,10.0
7331,11745,0.091,0.76,0.02,0.648,0.025,0.069,0.642,0,0.182,0.24,500,Free,3,498.338,381,0.02,10.0
10870,13658,0.121,0.67,0.025,0.671,0.022,0.081,0.733,0,0.25,0.192,500,Free,4,498.338,381,0.02,10.0
11991,14525,0.151,1.34,0.01,0.636,0.028,0.102,0.721,0,0.234,0.306,500,Free,5,498.338,381,0.02,10.0
12198,14924,0.181,1.61,0.01,0.639,0.028,0.116,0.761,0,0.228,0.392,500,Free,6,498.338,381,0.02,10.0
18650,18999,0.211,1.51,0.055,0.614,0.028,0.131,0.784,0,0.164,0.386,500,Free,7,498.338,381,0.02,10.0
24018,21715,0.241,1.54,0.025,0.614,0.027,0.144,0.815,0,0.384,0.48,500,Free,8,498.338,381,0.02,10.0
27984,23895,0.271,4.43,0.02,0.595,0.024,0.156,0.846,0,0.256,0.472,500,Free,9,498.338,381,0.02,10.0
28184,24401,0.303,4.32,0.005,0.607,0.031,0.178,0.825,0,0.34,0.492,500,Free,10,498.338,381,0.02,10.0
36590,30088,0.33,2.38,0.025,0.66,0.034,0.193,0.825,0,0.38,0.456,500,Free,11,498.338,381,0.02,10.0
0,8212,0.0,0.01,0.02,0.657,0.014,0.014,0.0,0,0.0,0.004,500,Free,0,200.157,382,0.02,10.0
383,8505,0.03,0.04,0.045,0.612,0.019,0.034,0.434,0,0.006,0.014,500,Free,1,200.157,382,0.02,10.0
1085,9132,0.061,0.48,0.02,0.528,0.031,0.06,0.494,0,0.016,0.058,500,Free,2,200.157,382,0.02,10.0
1297,9548,0.091,0.69,0.06,0.576,0.031,0.075,0.588,0,0.032,0.1,500,Free,3,200.157,382,0.02,10.0
2362,10538,0.12,1.16,0.02,0.605,0.024,0.083,0.709,0,0.106,0.274,500,Free,4,200.157,382,0.02,10.0
4205,11881,0.151,1.45,0.05,0.578,0.032,0.105,0.697,0,0.418,0.464,500,Free,5,200.157,382,0.02,10.0
5240,12561,0.182,1.59,0.025,0.576,0.024,0.113,0.785,0,0.42,0.45,500,Free,6,200.157,382,0.02,10.0
5570,12872,0.212,2.07,0.045,0.596,0.03,0.133,0.771,0,0.356,0.432,500,Free,7,200.157,382,0.02,10.0
8861,15161,0.24,1.73,0.02,0.633,0.017,0.135,0.873,0,0.274,0.496,500,Free,8,200.157,382,0.02,10.0
9324,15973,0.271,2.62,0.05,0.599,0.025,0.157,0.841,0,0.284,0.472,500,Free,9,200.157,382,0.02,10.0
18544,20598,0.301,3.32,0.015,0.594,0.025,0.171,0.855,0,0.222,0.47,500,Free,10,200.157,382,0.02,10.0
31050,27442,0.331,4.11,0.035,0.617,0.026,0.187,0.86,0,0.45,0.502,500,Free,11,200.157,382,0.02,10.0
0,8376,0.0,0.03,0.03,0.613,0.031,0.031,0.0,0,0.02,0.002,500,Free,0,213.636,383,0.02,10.0
979,9029,0.03,0.12,0.05,0.605,0.023,0.038,0.391,0,0.01,0.04,500,Free,1,213.636,383,0.02,10.0
1174,9282,0.062,0.36,0.035,0.579,0.02,0.05,0.604,0,0.02,0.072,500,Free,2,213.636,383,0.02,10.0
11141,14751,0.093,1.09,0.045,0.658,0.022,0.068,0.674,0,0.054,0.174,500,Free,3,213.636,383,0.02,10.0
11657,15329,0.121,1.58,0.05,0.66,0.024,0.083,0.714,0,0.108,0.28,500,Free,4,213.636,383,0.02,10.0
12524,15976,0.152,1.19,0.015,0.66,0.022,0.096,0.773,0,0.096,0.312,500,Free,5,213.636,383,0.02,10.0
13599,17035,0.181,0.66,0.015,0.7,0.021,0.109,0.812,0,0.154,0.314,500,Free,6,213.636,383,0.02,10.0
14177,17476,0.21,0.44,0.015,0.68,0.02,0.123,0.835,0,0.318,0.37,500,Free,7,213.636,383,0.02,10.0
57716,35859,0.242,3.05,0.02,0.603,0.03,0.147,0.797,0,0.372,0.422,500,Free,8,213.636,383,0.02,10.0
59521,37177,0.27,3.6,0.02,0.675,0.023,0.154,0.854,0,0.236,0.476,500,Free,9,213.636,383,0.02,10.0
71511,42848,0.3,5.86,0.03,0.574,0.029,0.175,0.833,0,0.246,0.502,500,Free,10,213.636,383,0.02,10.0
71582,43115,0.33,6.86,0.0,0.555,0.013,0.176,0.928,0,0.236,0.512,500,Free,11,213.636,383,0.02,10.0
0,4642,0.0,0.0,0.01,0.633,0.013,0.013,0.0,0,0.002,0.004,500,Free,0,373.056,384,0.02,10.0
2722,5051,0.032,0.16,0.03,0.607,0.034,0.049,0.316,0,0.0,0.03,500,Free,1,373.056,384,0.02,10.0
2795,5117,0.062,0.13,0.02,0.607,0.034,0.064,0.472,0,0.008,0.042,500,Free,2,373.056,384,0.02,10.0
4467,6110,0.09,0.23,0.02,0.61,0.018,0.062,0.708,0,0.048,0.15,500,Free,3,373.056,384,0.02,10.0
4713,6361,0.123,0.49,0.005,0.616,0.017,0.077,0.782,0,0.028,0.24,500,Free,4,373.056,384,0.02,10.0
4925,6845,0.151,1.06,0.03,0.591,0.035,0.107,0.676,0,0.086,0.264,500,Free,5,373.056,384,0.02,10.0
18540,11706,0.183,1.31,0.025,0.614,0.027,0.116,0.77,0,0.072,0.396,500,Free,6,373.056,384,0.02,10.0
20927,13069,0.212,1.62,0.025,0.624,0.024,0.127,0.811,0,0.052,0.424,500,Free,7,373.056,384,0.02,10.0
23227,15014,0.241,2.11,0.035,0.587,0.027,0.144,0.813,0,0.146,0.448,500,Free,8,373.056,384,0.02,10.0
32554,19380,0.273,3.27,0.025,0.595,0.023,0.156,0.855,0,0.16,0.486,500,Free,9,373.056,384,0.02,10.0
32836,19855,0.301,3.43,0.03,0.62,0.017,0.165,0.896,0,0.154,0.482,500,Free,10,373.056,384,0.02,10.0
35473,23283,0.335,4.72,0.04,0.627,0.035,0.196,0.823,0,0.302,0.53,500,Free,11,373.056,384,0.02,10.0
0,9768,0.0,0.03,0.005,0.639,0.012,0.012,0.0,0,0.0,0.002,500,Free,0,347.925,385,0.02,10.0
1248,10429,0.031,0.16,0.045,0.599,0.025,0.04,0.376,0,0.03,0.034,500,Free,1,347.925,385,0.02,10.0
3892,11706,0.063,0.64,0.03,0.577,0.031,0.061,0.498,0,0.008,0.172,500,Free,2,347.925,385,0.02,10.0
3932,11904,0.09,0.9,0.01,0.566,0.028,0.072,0.611,0,0.01,0.25,500,Free,3,347.925,385,0.02,10.0
4060,12120,0.122,1.22,0.02,0.568,0.02,0.08,0.746,0,0.02,0.31,500,Free,4,347.925,385,0.02,10.0
6521,14292,0.151,2.7,0.015,0.59,0.022,0.096,0.769,0,0.08,0.284,500,Free,5,347.925,385,0.02,10.0
8289,15827,0.181,2.57,0.025,0.608,0.029,0.117,0.751,0,0.174,0.422,500,Free,6,347.925,385,0.02,10.0
14637,18588,0.21,2.03,0.035,0.62,0.024,0.126,0.812,0,0.184,0.436,500,Free,7,347.925,385,0.02,10.0
14912,19083,0.24,3.42,0.06,0.626,0.027,0.144,0.809,0,0.176,0.414,500,Free,8,347.925,385,0.02,10.0
16507,20498,0.273,4.55,0.025,0.629,0.024,0.157,0.849,0,0.536,0.494,500,Free,9,347.925,385,0.02,10.0
16892,21107,0.3,5.24,0.025,0.594,0.028,0.174,0.837,0,0.508,0.502,500,Free,10,347.925,385,0.02,10.0
36038,30120,0.332,4.04,0.005,0.618,0.027,0.189,0.856,0,0.446,0.496,500,Free,11,347.925,385,0.02,10.0
0,6248,0.0,0.01,0.01,0.688,0.02,0.02,0.0,0,0.008,0.006,500,Free,0,466.213,386,0.02,10.0
11989,10946,0.03,0.02,0.0,0.622,0.014,0.029,0.513,0,0.0,0.01,500,Free,1,466.213,386,0.02,10.0
12583,11618,0.062,0.9,0.015,0.629,0.017,0.047,0.642,0,0.392,0.242,500,Free,2,466.213,386,0.02,10.0
14735,12947,0.09,1.08,0.01,0.633,0.023,0.067,0.655,0,0.374,0.23,500,Free,3,466.213,386,0.02,10.0
15576,13399,0.121,1.25,0.055,0.629,0.031,0.09,0.654,0,0.356,0.342,500,Free,4,466.213,386,0.02,10.0
20090,16375,0.151,1.81,0.06,0.646,0.024,0.098,0.751,0,0.142,0.304,500,Free,5,466.213,386,0.02,10.0
21027,17434,0.18,2.35,0.065,0.606,0.022,0.11,0.799,0,0.316,0.332,500,Free,6,466.213,386,0.02,10.0
21317,17863,0.212,2.05,0.03,0.566,0.021,0.124,0.835,0,0.32,0.376,500,Free,7,466.213,386,0.02,10.0
24360,20311,0.241,2.71,0.01,0.536,0.028,0.145,0.808,0,0.44,0.456,500,Free,8,466.213,386,0.02,10.0
24782,21130,0.271,2.62,0.015,0.554,0.021,0.154,0.862,0,0.542,0.504,500,Free,9,466.213,386,0.02,10.0
26489,23101,0.3,2.94,0.005,0.593,0.021,0.168,0.875,0,0.436,0.494,500,Free,10,466.213,386,0.02,10.0
26982,23972,0.331,4.83,0.0,0.633,0.014,0.177,0.922,0,0.546,0.52,500,Free,11,466.213,386,0.02,10.0
0,6289,0.0,0.01,0.025,0.652,0.024,0.024,0.0,0,0.016,0.012,500,Free,0,290.47,387,0.02,10.0
4236,7334,0.031,0.08,0.06,0.63,0.026,0.041,0.364,0,0.006,0.038,500,Free,1,290.47,387,0.02,10.0
8390,8968,0.061,0.2,0.02,0.648,0.022,0.052,0.576,0,0.04,0.058,500,Free,2,290.47,387,0.02,10.0
10515,9905,0.091,1.11,0.025,0.601,0.023,0.067,0.663,0,0.102,0.22,500,Free,3,290.47,387,0.02,10.0
13071,10815,0.121,0.3,0.025,0.592,0.017,0.076,0.781,0,0.024,0.138,500,Free,4,290.47,387,0.02,10.0
13244,11095,0.15,1.01,0.025,0.65,0.022,0.096,0.768,0,0.044,0.19,500,Free,5,290.47,387,0.02,10.0
15155,12419,0.182,1.85,0.04,0.635,0.028,0.116,0.758,0,0.308,0.39,500,Free,6,290.47,387,0.02,10.0
17005,13362,0.212,1.83,0.025,0.621,0.021,0.125,0.835,0,0.4,0.408,500,Free,7,290.47,387,0.02,10.0
17931,14009,0.242,2.43,0.03,0.584,0.027,0.144,0.816,0,0.404,0.414,500,Free,8,290.47,387,0.02,10.0
18126,14406,0.271,3.17,0.02,0.602,0.026,0.158,0.833,0,0.302,0.442,500,Free,9,290.47,387,0.02,10.0
18179,14762,0.301,4.47,0.035,0.618,0.032,0.178,0.818,0,0.282,0.442,500,Free,10,290.47,387,0.02,10.0
18331,15401,0.332,5.69,0.025,0.631,0.02,0.183,0.889,0,0.21,0.474,500,Free,11,290.47,387,0.02,10.0
0,6805,0.0,0.03,0.025,0.61,0.022,0.022,0.0,0,0.004,0.01,500,Free,0,429.879,388,0.02,10.0
4273,8108,0.031,0.26,0.02,0.585,0.02,0.035,0.426,0,0.068,0.06,500,Free,1,429.879,388,0.02,10.0
4738,8287,0.061,0.45,0.02,0.574,0.017,0.047,0.636,0,0.042,0.058,500,Free,2,429.879,388,0.02,10.0
5072,8612,0.09,1.18,0.05,0.536,0.036,0.08,0.546,0,0.166,0.21,500,Free,3,429.879,388,0.02,10.0
9793,10928,0.121,1.21,0.025,0.567,0.023,0.082,0.718,0,0.096,0.234,500,Free,4,429.879,388,0.02,10.0
10525,11540,0.151,1.72,0.045,0.533,0.031,0.104,0.705,0,0.156,0.376,500,Free,5,429.879,388,0.02,10.0
19127,16336,0.181,1.81,0.045,0.613,0.028,0.116,0.756,0,0.608,0.372,500,Free,6,429.879,388,0.02,10.0
19598,16901,0.21,2.25,0.025,0.575,0.035,0.136,0.746,0,0.502,0.47,500,Free,7,429.879,388,0.02,10.0
19661,17142,0.241,2.43,0.005,0.574,0.021,0.138,0.851,0,0.534,0.478,500,Free,8,429.879,388,0.02,10.0
20079,17748,0.271,2.77,0.02,0.568,0.023,0.155,0.855,0,0.396,0.46,500,Free,9,429.879,388,0.02,10.0
20593,18668,0.301,3.48,0.05,0.54,0.025,0.172,0.855,0,0.108,0.498,500,Free,10,429.879,388,0.02,10.0
20876,19276,0.331,2.37,0.01,0.511,0.017,0.18,0.904,0,0.542,0.504,500,Free,11,429.879,388,0.02,10.0
0,9629,0.0,0.03,0.02,0.595,0.022,0.022,0.0,0,0.004,0.004,500,Free,0,288.271,389,0.02,10.0
707,9965,0.031,0.29,0.04,0.66,0.03,0.045,0.333,0,0.026,0.054,500,Free,1,288.271,389,0.02,10.0
839,10095,0.063,0.47,0.02,0.67,0.023,0.053,0.574,0,0.078,0.09,500,Free,2,288.271,389,0.02,10.0
30400,16822,0.092,0.39,0.02,0.656,0.018,0.063,0.716,0,0.102,0.176,500,Free,3,288.271,389,0.02,10.0
36439,18948,0.12,0.48,0.02,0.648,0.021,0.08,0.74,0,0.09,0.232,500,Free,4,288.271,389,0.02,10.0
37891,19726,0.152,0.98,0.03,0.66,0.026,0.1,0.74,0,0.242,0.302,500,Free,5,288.271,389,0.02,10.0
39317,20948,0.181,0.96,0.03,0.588,0.026,0.114,0.771,0,0.13,0.376,500,Free,6,288.271,389,0.02,10.0
41445,21991,0.211,1.64,0.025,0.62,0.024,0.127,0.81,0,0.218,0.364,500,Free,7,288.271,389,0.02,10.0
43120,23305,0.24,2.38,0.045,0.602,0.028,0.145,0.808,0,0.284,0.41,500,Free,8,288.271,389,0.02,10.0
48040,25649,0.272,2.62,0.04,0.688,0.025,0.158,0.841,0,0.41,0.456,500,Free,9,288.271,389,0.02,10.0
49663,27016,0.3,2.79,0.025,0.714,0.017,0.165,0.897,0,0.254,0.456,500,Free,10,288.271,389,0.02,10.0
56082,29464,0.331,3.31,0.035,0.654,0.019,0.181,0.895,0,0.474,0.5,500,Free,11,288.271,389,0.02,10.0
0,8080,0.0,0.04,0.01,0.614,0.027,0.027,0.0,0,0.002,0.0,500,Free,0,175.37,390,0.02,10.0
40748,13064,0.031,0.36,0.03,0.648,0.029,0.044,0.337,0,0.024,0.086,500,Free,1,175.37,390,0.02,10.0
41540,13401,0.06,0.42,0.04,0.629,0.032,0.062,0.474,0,0.042,0.096,500,Free,2,175.37,390,0.02,10.0
46417,15125,0.091,0.42,0.005,0.632,0.02,0.065,0.686,0,0.27,0.156,500,Free,3,175.37,390,0.02,10.0
47251,15833,0.123,1.01,0.04,0.618,0.02,0.08,0.75,0,0.206,0.202,500,Free,4,175.37,390,0.02,10.0
68950,22680,0.151,2.08,0.04,0.603,0.029,0.102,0.716,0,0.246,0.382,500,Free,5,175.37,390,0.02,10.0
70421,23407,0.181,2.55,0.04,0.6,0.024,0.112,0.783,0,0.24,0.412,500,Free,6,175.37,390,0.02,10.0
78191,26716,0.211,2.56,0.005,0.652,0.021,0.124,0.831,0,0.258,0.488,500,Free,7,175.37,390,0.02,10.0
78956,27315,0.24,3.52,0.03,0.618,0.023,0.14,0.836,0,0.318,0.482,500,Free,8,175.37,390,0.02,10.0
79341,27972,0.27,4.02,0.045,0.599,0.034,0.165,0.792,0,0.332,0.442,500,Free,9,175.37,390,0.02,10.0
80132,28709,0.301,3.58,0.01,0.666,0.019,0.167,0.886,0,0.228,0.488,500,Free,10,175.37,390,0.02,10.0
82936,30319,0.33,3.84,0.055,0.653,0.027,0.188,0.856,0,0.362,0.496,500,Free,11,175.37,390,0.02,10.0
0,8535,0.0,0.02,0.035,0.641,0.02,0.02,0.0,0,0.006,0.004,500,Free,0,606.944,391,0.02,10.0
584,8714,0.03,0.26,0.025,0.62,0.024,0.039,0.378,0,0.062,0.044,500,Free,1,606.944,391,0.02,10.0
3875,10052,0.061,0.12,0.01,0.556,0.028,0.057,0.516,0,0.07,0.06,500,Free,2,606.944,391,0.02,10.0
4057,10465,0.091,0.71,0.02,0.598,0.021,0.066,0.674,0,0.06,0.104,500,Free,3,606.944,391,0.02,10.0
4570,11274,0.12,0.53,0.005,0.648,0.025,0.084,0.697,0,0.2,0.272,500,Free,4,606.944,391,0.02,10.0
6239,13226,0.15,0.63,0.01,0.66,0.028,0.101,0.724,0,0.212,0.338,500,Free,5,606.944,391,0.02,10.0
26409,21112,0.18,1.38,0.04,0.652,0.019,0.108,0.82,0,0.038,0.372,500,Free,6,606.944,391,0.02,10.0
35030,24371,0.21,2.86,0.025,0.606,0.022,0.125,0.824,0,0.204,0.47,500,Free,7,606.944,391,0.02,10.0
35392,24710,0.24,2.67,0.01,0.632,0.018,0.136,0.865,0,0.268,0.432,500,Free,8,606.944,391,0.02,10.0
41928,27565,0.271,4.04,0.01,0.606,0.014,0.147,0.908,0,0.178,0.474,500,Free,9,606.944,391,0.02,10.0
46956,29781,0.3,3.49,0.065,0.615,0.023,0.17,0.865,0,0.262,0.416,500,Free,10,606.944,391,0.02,10.0
61447,35724,0.33,5.94,0.02,0.684,0.015,0.178,0.915,0,0.47,0.48,500,Free,11,606.944,391,0.02,10.0
0,7932,0.0,0.04,0.03,0.675,0.02,0.02,0.0,0,0.012,0.012,500,Free,0,500.223,392,0.02,10.0
2321,8514,0.031,0.05,0.01,0.644,0.018,0.033,0.456,0,0.012,0.008,500,Free,1,500.223,392,0.02,10.0
3956,9310,0.061,0.25,0.03,0.611,0.018,0.048,0.623,0,0.082,0.068,500,Free,2,500.223,392,0.02,10.0
4985,10111,0.091,1.64,0.03,0.668,0.022,0.067,0.667,0,0.61,0.318,500,Free,3,500.223,392,0.02,10.0
6719,11391,0.121,2.27,0.075,0.64,0.031,0.09,0.652,0,0.722,0.43,500,Free,4,500.223,392,0.02,10.0
6813,11653,0.15,2.64,0.045,0.662,0.024,0.097,0.754,0,0.754,0.38,500,Free,5,500.223,392,0.02,10.0
8066,12782,0.181,2.76,0.06,0.638,0.029,0.117,0.751,0,0.672,0.48,500,Free,6,500.223,392,0.02,10.0
8887,13664,0.21,2.29,0.03,0.605,0.028,0.131,0.783,0,0.522,0.476,500,Free,7,500.223,392,0.02,10.0
9241,14193,0.24,1.39,0.035,0.589,0.026,0.142,0.821,0,0.486,0.516,500,Free,8,500.223,392,0.02,10.0
9873,15047,0.271,2.6,0.03,0.585,0.019,0.152,0.872,0,0.422,0.436,500,Free,9,500.223,392,0.02,10.0
11456,16696,0.301,3.61,0.02,0.626,0.032,0.177,0.821,0,0.33,0.502,500,Free,10,500.223,392,0.02,10.0
11813,17568,0.33,3.38,0.05,0.635,0.019,0.181,0.896,0,0.386,0.51,500,Free,11,500.223,392,0.02,10.0
0,7407,0.0,0.0,0.01,0.62,0.031,0.031,0.0,0,0.002,0.002,500,Free,0,343.544,393,0.02,10.0
2217,8209,0.03,0.18,0.025,0.626,0.026,0.041,0.358,0,0.04,0.064,500,Free,1,343.544,393,0.02,10.0
6829,9328,0.06,0.13,0.035,0.565,0.023,0.052,0.561,0,0.012,0.024,500,Free,2,343.544,393,0.02,10.0
6908,9478,0.092,0.25,0.0,0.568,0.022,0.067,0.67,0,0.038,0.084,500,Free,3,343.544,393,0.02,10.0
7213,9914,0.123,1.18,0.015,0.588,0.019,0.079,0.759,0,0.486,0.172,500,Free,4,343.544,393,0.02,10.0
10647,11993,0.154,0.86,0.015,0.655,0.022,0.097,0.773,0,0.132,0.264,500,Free,5,343.544,393,0.02,10.0
13289,13793,0.18,1.94,0.04,0.647,0.019,0.108,0.821,0,0.078,0.368,500,Free,6,343.544,393,0.02,10.0
14580,14704,0.21,1.54,0.015,0.621,0.031,0.132,0.769,0,0.306,0.448,500,Free,7,343.544,393,0.02,10.0
14915,15187,0.241,2.0,0.06,0.622,0.031,0.148,0.789,0,0.402,0.48,500,Free,8,343.544,393,0.02,10.0
15367,15845,0.271,1.72,0.015,0.642,0.024,0.156,0.845,0,0.572,0.472,500,Free,9,343.544,393,0.02,10.0
26211,23209,0.301,1.25,0.04,0.666,0.019,0.166,0.886,0,0.628,0.49,500,Free,10,343.544,393,0.02,10.0
52030,33955,0.332,1.81,0.005,0.67,0.02,0.183,0.889,0,0.648,0.488,500,Free,11,343.544,393,0.02,10.0
0,8111,0.0,0.02,0.05,0.578,0.02,0.02,0.0,0,0.002,0.01,500,Free,0,191.895,394,0.02,10.0
4985,10052,0.032,0.15,0.015,0.614,0.016,0.031,0.498,0,0.016,0.048,500,Free,1,191.895,394,0.02,10.0
6587,11079,0.061,0.29,0.025,0.616,0.027,0.057,0.522,0,0.07,0.084,500,Free,2,191.895,394,0.02,10.0
10707,12520,0.09,0.88,0.025,0.594,0.026,0.07,0.625,0,0.158,0.176,500,Free,3,191.895,394,0.02,10.0
10855,12790,0.121,1.32,0.03,0.583,0.03,0.089,0.663,0,0.098,0.332,500,Free,4,191.895,394,0.02,10.0
11941,13640,0.152,1.64,0.065,0.568,0.023,0.097,0.765,0,0.082,0.398,500,Free,5,191.895,394,0.02,10.0
14202,15562,0.18,2.13,0.01,0.6,0.027,0.115,0.765,0,0.128,0.422,500,Free,6,191.895,394,0.02,10.0
16286,17070,0.211,2.14,0.015,0.585,0.02,0.123,0.837,0,0.12,0.484,500,Free,7,191.895,394,0.02,10.0
25395,20962,0.24,2.68,0.065,0.591,0.023,0.141,0.835,0,0.566,0.51,500,Free,8,191.895,394,0.02,10.0
27690,22566,0.271,4.14,0.02,0.576,0.026,0.158,0.836,0,0.388,0.514,500,Free,9,191.895,394,0.02,10.0
28261,23429,0.3,3.21,0.035,0.588,0.035,0.18,0.803,0,0.384,0.482,500,Free,10,191.895,394,0.02,10.0
28549,24133,0.334,3.31,0.015,0.596,0.023,0.186,0.875,0,0.51,0.534,500,Free,11,191.895,394,0.02,10.0
0,6059,0.0,0.03,0.04,0.634,0.022,0.022,0.0,0,0.004,0.004,500,Free,0,270.041,395,0.02,10.0
3116,6574,0.03,0.14,0.025,0.62,0.015,0.03,0.49,0,0.022,0.026,500,Free,1,270.041,395,0.02,10.0
3465,6803,0.061,0.16,0.025,0.617,0.026,0.056,0.532,0,0.048,0.056,500,Free,2,270.041,395,0.02,10.0
4519,7548,0.09,0.32,0.04,0.643,0.023,0.067,0.653,0,0.114,0.104,500,Free,3,270.041,395,0.02,10.0
6819,8743,0.121,0.42,0.045,0.657,0.026,0.085,0.692,0,0.186,0.198,500,Free,4,270.041,395,0.02,10.0
8052,9581,0.154,1.05,0.045,0.636,0.026,0.1,0.745,0,0.076,0.232,500,Free,5,270.041,395,0.02,10.0
8111,9694,0.18,1.21,0.025,0.582,0.021,0.109,0.809,0,0.086,0.216,500,Free,6,270.041,395,0.02,10.0
18881,14465,0.21,2.24,0.03,0.616,0.027,0.129,0.79,0,0.244,0.332,500,Free,7,270.041,395,0.02,10.0
19277,14967,0.241,3.41,0.035,0.604,0.024,0.141,0.83,0,0.196,0.416,500,Free,8,270.041,395,0.02,10.0
46932,27765,0.27,3.15,0.045,0.609,0.021,0.153,0.862,0,0.62,0.454,500,Free,9,270.041,395,0.02,10.0
53205,32751,0.3,1.84,0.025,0.608,0.017,0.165,0.894,0,0.43,0.518,500,Free,10,270.041,395,0.02,10.0
53716,33365,0.331,2.89,0.015,0.565,0.016,0.179,0.908,0,0.28,0.5,500,Free,11,270.041,395,0.02,10.0
0,12067,0.0,0.0,0.025,0.706,0.019,0.019,0.0,0,0.006,0.004,500,Free,0,285.714,396,0.02,10.0
1763,12928,0.031,0.1,0.055,0.619,0.035,0.05,0.3,0,0.01,0.054,500,Free,1,285.714,396,0.02,10.0
11113,15929,0.061,0.22,0.04,0.663,0.02,0.05,0.596,0,0.022,0.062,500,Free,2,285.714,396,0.02,10.0
11986,16386,0.091,0.25,0.015,0.638,0.014,0.059,0.758,0,0.054,0.048,500,Free,3,285.714,396,0.02,10.0
13748,17606,0.121,0.99,0.02,0.696,0.018,0.077,0.768,0,0.046,0.246,500,Free,4,285.714,396,0.02,10.0
16366,19665,0.15,1.82,0.05,0.656,0.024,0.097,0.754,0,0.166,0.39,500,Free,5,285.714,396,0.02,10.0
25061,24827,0.18,0.93,0.02,0.708,0.023,0.111,0.792,0,0.086,0.344,500,Free,6,285.714,396,0.02,10.0
26000,25887,0.211,1.64,0.04,0.656,0.031,0.134,0.766,0,0.24,0.43,500,Free,7,285.714,396,0.02,10.0
51836,36137,0.242,2.31,0.015,0.658,0.024,0.142,0.832,0,0.286,0.418,500,Free,8,285.714,396,0.02,10.0
52346,36734,0.271,4.0,0.065,0.614,0.018,0.151,0.881,0,0.33,0.44,500,Free,9,285.714,396,0.02,10.0
63975,42563,0.301,2.33,0.06,0.676,0.024,0.171,0.86,0,0.208,0.5,500,Free,10,285.714,396,0.02,10.0
79869,50155,0.332,5.03,0.08,0.642,0.032,0.192,0.834,0,0.468,0.466,500,Free,11,285.714,396,0.02,10.0
0,8283,0.0,0.07,0.065,0.696,0.029,0.029,0.0,0,0.012,0.016,500,Free,0,208.083,397,0.02,10.0
